player,squad,league,season,transfermarkt_id,reason
Thomas Dähne,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Patson Daka,Leicester City,eng Premier League,2024/25,,no matching player
Maat Daniel Caprini,Fiorentina,it Serie A,2024/25,,no matching player
Danilo,Nott'ham Forest,eng Premier League,2024/25,,no matching player
Danilo,Juventus,it Serie A,2024/25,,no matching player
Jayden Danns,Liverpool,eng Premier League,2024/25,,no matching player
Pape Daouda Diongue,Strasbourg,fr Ligue 1,2024/25,,no matching player
Mohamed Daramy,Reims,fr Ligue 1,2024/25,,no matching player
Juan David Cabal,Juventus,it Serie A,2024/25,,no matching player
Leif Davis,Ipswich Town,eng Premier League,2024/25,,no matching player
Craig Dawson,Wolves,eng Premier League,2024/25,,no matching player
Mattia De Sciglio,Empoli,it Serie A,2024/25,,no matching player
Enrico Del Prato,Parma,it Serie A,2024/25,,no matching player
Thomas Delaine,Strasbourg,fr Ligue 1,2024/25,,no matching player
Andy Delort,Montpellier,fr Ligue 1,2024/25,,no matching player
Ali Dembélé,Torino,it Serie A,2024/25,,no matching player
Arthur Desmas,Le Havre,fr Ligue 1,2024/25,,no matching player
Kandet Diawara,Le Havre,fr Ligue 1,2024/25,,no matching player
Daniel Díaz,Real Sociedad,es La Liga,2024/25,,no matching player
Luis Díaz,Liverpool,eng Premier League,2024/25,,no matching player
Kembo Diliwidi,Lens,fr Ligue 1,2024/25,,no matching player
Lois Diony,Angers,fr Ligue 1,2024/25,,no matching player
Sérigné Diop,Brest,fr Ligue 1,2024/25,,no matching player
Roman Dixon,Everton,eng Premier League,2024/25,,no matching player
Álvaro djaló,Athletic Club,es La Liga,2024/25,,no matching player
Djené,Getafe,es La Liga,2024/25,,no matching player
Marc Domenech,Mallorca,es La Liga,2024/25,,no matching player
Benjamín Domínguez,Bologna,it Serie A,2024/25,,no matching player
Israel Domínguez,Sevilla,es La Liga,2024/25,,no matching player
Alfie Dorrington,Tottenham,eng Premier League,2024/25,,no matching player
Douglas,Nantes,fr Ligue 1,2024/25,,no matching player
Issa Doumbia,Venezia,it Serie A,2024/25,,no matching player
Amidou Doumbouya,Nice,fr Ligue 1,2024/25,,no matching player
Flynn Downes,Southampton,eng Premier League,2024/25,,no matching player
Tommy Doyle,Wolves,eng Premier League,2024/25,,no matching player
Marvin Ducksch,Werder Bremen,de Bundesliga,2024/25,,no matching player
Duk,Leganés,es La Liga,2024/25,,no matching player
Alfred Duncan,Venezia,it Serie A,2024/25,,no matching player
Jáder Durán,Aston Villa,eng Premier League,2024/25,,no matching player
Stefan Džodić,Montpellier,fr Ligue 1,2024/25,,no matching player
Adam Dźwigała,St. Pauli,de Bundesliga,2024/25,,no matching player
Tyronne Ebuehi,Empoli,it Serie A,2024/25,,no matching player
Ederson,Manchester City,eng Premier League,2024/25,,no matching player
George Edmundson,Ipswich Town,eng Premier League,2024/25,,no matching player
Samuel Edozie,Southampton,eng Premier League,2024/25,,no matching player
Ronnie Edwards,Southampton,eng Premier League,2024/25,,no matching player
Pierre Ekwah Elimby,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Meschak Elia,Nantes,fr Ligue 1,2024/25,,no matching player
Mikael Ellertsson,Venezia,it Serie A,2024/25,,no matching player
Elif Elmas,Torino,it Serie A,2024/25,,no matching player
Elif Elmas,RB Leipzig,de Bundesliga,2024/25,,no matching player
Adri Embarba,Rayo Vallecano,es La Liga,2024/25,,no matching player
Emanuel Emegha,Strasbourg,fr Ligue 1,2024/25,,no matching player
Emerson,Milan,it Serie A,2024/25,,no matching player
Yunus Emre Konak,Brentford,eng Premier League,2024/25,,no matching player
Endrick,Real Madrid,es La Liga,2024/25,,no matching player
Patrick Erras,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Romain Esse,Crystal Palace,eng Premier League,2024/25,,no matching player
Estanis,Bologna,it Serie A,2024/25,,no matching player
Etienne Eto'o,Rayo Vallecano,es La Liga,2024/25,,no matching player
Karl Etta,Villarreal,es La Liga,2024/25,,no matching player
Jake Evans,Leicester City,eng Premier League,2024/25,,no matching player
Jonny Evans,Manchester Utd,eng Premier League,2024/25,,no matching player
Łukasz Fabiański,West Ham,eng Premier League,2024/25,,no matching player
Davide Faraoni,Hellas Verona,it Serie A,2024/25,,no matching player
Abdul Fatawu Issahaku,Leicester City,eng Premier League,2024/25,,no matching player
Khalil Fayad,Montpellier,fr Ligue 1,2024/25,,no matching player
Nabil Fekir,Betis,es La Liga,2024/25,,no matching player
Zinedine Ferhat,Angers,fr Ligue 1,2024/25,,no matching player
Álvaro Fernández,Sevilla,es La Liga,2024/25,,no matching player
Pelayo Fernandez,Rayo Vallecano,es La Liga,2024/25,,no matching player
Valery Fernández,Mallorca,es La Liga,2024/25,,no matching player
Jordan Ferri,Montpellier,fr Ligue 1,2024/25,,no matching player
Daniel Fila,Venezia,it Serie A,2024/25,,no matching player
Karol Fila,Strasbourg,fr Ligue 1,2024/25,,no matching player
Alessandro Florenzi,Milan,it Serie A,2024/25,,no matching player
Omari Forson,Monza,it Serie A,2024/25,,no matching player
Fran,Real Madrid,es La Liga,2024/25,,no matching player
Przemysław Frankowski,Lens,fr Ligue 1,2024/25,,no matching player
Enric Franquesa,Leganés,es La Liga,2024/25,,no matching player
Tyler Fredricson,Manchester Utd,eng Premier League,2024/25,,no matching player
Darío Fuentes,Sevilla,es La Liga,2024/25,,no matching player
Shiō Fukuda,Gladbach,de Bundesliga,2024/25,,no matching player
Manuel Fuster,Las Palmas,es La Liga,2024/25,,no matching player
Tommaso Gabellini,Torino,it Serie A,2024/25,,no matching player
Alessandro Gabrielloni,Como,it Serie A,2024/25,,no matching player
Cristian Gamboa,Bochum,de Bundesliga,2024/25,,no matching player
Idrissa Gana Gueye,Everton,eng Premier League,2024/25,,no matching player
Silvère Ganvoula M'Boussy,Monza,it Serie A,2024/25,,no matching player
Mory Gbane,Reims,fr Ligue 1,2024/25,,no matching player
Max Geschwill,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Lautaro Gianetti,Udinese,it Serie A,2024/25,,no matching player
Dimitris Giannoulis,Augsburg,de Bundesliga,2024/25,,no matching player
Michael Golding,Leicester City,eng Premier League,2024/25,,no matching player
André Gomes,Lille,fr Ligue 1,2024/25,,no matching player
Toti Gomes,Wolves,eng Premier League,2024/25,,no matching player
Carlos Gómez,Rennes,fr Ligue 1,2024/25,,no matching player
Dani Gómez,Valencia,es La Liga,2024/25,,no matching player
Fabio González,Las Palmas,es La Liga,2024/25,,no matching player
Nicolás González,Manchester City,eng Premier League,2024/25,,no matching player
Nicolás González,Juventus,it Serie A,2024/25,,no matching player
Peter González,Getafe,es La Liga,2024/25,,no matching player
Urko González,Espanyol,es La Liga,2024/25,,no matching player
Urko González,Real Sociedad,es La Liga,2024/25,,no matching player
José Gragera,Espanyol,es La Liga,2024/25,,no matching player
Samuel Grandsir,Le Havre,fr Ligue 1,2024/25,,no matching player
Jacob Greaves,Ipswich Town,eng Premier League,2024/25,,no matching player
Álex Grimaldo,Leverkusen,de Bundesliga,2024/25,,no matching player
Albert Grønbaek,Southampton,eng Premier League,2024/25,,no matching player
Albert Grønbaek,Rennes,fr Ligue 1,2024/25,,no matching player
Vicente Guaita,Celta Vigo,es La Liga,2024/25,,no matching player
Sergi Guardiola,Rayo Vallecano,es La Liga,2024/25,,no matching player
Axel Gueguin,Montpellier,fr Ligue 1,2024/25,,no matching player
Javier Guerra,Valencia,es La Liga,2024/25,,no matching player
Carlos Guirao,Betis,es La Liga,2024/25,,no matching player
Bahereba Guirassy,Nantes,fr Ligue 1,2024/25,,no matching player
Albert Guðmundsson,Fiorentina,it Serie A,2024/25,,no matching player
Emmanuel Gyasi,Empoli,it Serie A,2024/25,,no matching player
Christian Gytkjær,Venezia,it Serie A,2024/25,,no matching player
Nicolas Haas,Empoli,it Serie A,2024/25,,no matching player
Saad El Haddad,Venezia,it Serie A,2024/25,,no matching player
Munir El Haddadi,Leganés,es La Liga,2024/25,,no matching player
Antoine Hainaut,Parma,it Serie A,2024/25,,no matching player
Mohamed Haj,Parma,it Serie A,2024/25,,no matching player
Ali Al Hamadi,Ipswich Town,eng Premier League,2024/25,,no matching player
Ridgeciano Haps,Venezia,it Serie A,2024/25,,no matching player
Marcus Harness,Ipswich Town,eng Premier League,2024/25,,no matching player
Phil Harres,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Taylor Harwood-Bellis,Southampton,eng Premier League,2024/25,,no matching player
Hwang Hee-chan,Wolves,eng Premier League,2024/25,,no matching player
Paul Hennrich,Hoffenheim,de Bundesliga,2024/25,,no matching player
Henrique,Valladolid,es La Liga,2024/25,,no matching player
Aridane Hernández,Rayo Vallecano,es La Liga,2024/25,,no matching player
Hernani,Parma,it Serie A,2024/25,,no matching player
Juan Herzog,Las Palmas,es La Liga,2024/25,,no matching player
Son Heung-min,Tottenham,eng Premier League,2024/25,,no matching player
Roger Hinojo,Espanyol,es La Liga,2024/25,,no matching player
Ki-Jana Hoever,Auxerre,fr Ligue 1,2024/25,,no matching player
Philipp Hofmann,Bochum,de Bundesliga,2024/25,,no matching player
Dinko Horkaš,Las Palmas,es La Liga,2024/25,,no matching player
Timo Horn,Bochum,de Bundesliga,2024/25,,no matching player
Cédric Hountondji,Angers,fr Ligue 1,2024/25,,no matching player
Ilyes Housni,Le Havre,fr Ligue 1,2024/25,,no matching player
Harry Howell,Brighton,eng Premier League,2024/25,,no matching player
Mats Hummels,Roma,it Serie A,2024/25,,no matching player
